09/21/2016 - AERI, 20d
09/21/2016 - SRPT, 20d
09/21/2016 - NVAX, 20d
09/21/2016 - MGT, 20d
09/27/2016 - ARRY, 20d
09/28/2016 - VSAR, 20d
09/28/2016 - AAAP, 20d
09/28/2016 - LIFE, 20d
09/28/2016 - KITE, 20d
09/28/2016 - ZSAN, 20d
09/28/2016 - FLML, 20d
09/28/2016 - SAGE, 20d
09/28/2016 - RTRX, 20d
09/28/2016 - GNVC, 20d
09/28/2016 - MGNX, 20d
09/28/2016 - ESPR, 20d
09/28/2016 - CLVS, 20d
09/28/2016 - CTRV, 20d
09/28/2016 - XENT, 20d
09/28/2016 - AVXS, 20d
09/28/2016 - INNL, 20d
09/28/2016 - DBVT, 20d
09/28/2016 - VNDA, 20d
09/28/2016 - RPTP, 20d
09/28/2016 - ALDX, 20d
09/28/2016 - ARIA, 20d
09/28/2016 - FOMX, 20d
09/28/2016 - ALDR, 20d
09/28/2016 - SBPH, 20d
09/28/2016 - VRTX, 20d
09/28/2016 - BPMX, 20d
09/28/2016 - PRQR, 20d
09/28/2016 - AVIR, 20d
09/28/2016 - MRUS, 20d
09/28/2016 - XENE, 20d
09/28/2016 - NDRM, 20d
09/28/2016 - DRRX, 20d
09/28/2016 - QURE, 20d
09/28/2016 - EXEL, 20d
09/28/2016 - SPPI, 20d
09/28/2016 - APRI, 20d
09/28/2016 - RVNC, 20d
09/28/2016 - DPRX, 20d
09/28/2016 - PSDV, 20d
09/28/2016 - KPTI, 20d
09/28/2016 - FGEN, 20d
09/28/2016 - ADMS, 20d
09/28/2016 - PBYI, 20d
09/28/2016 - OTIC, 20d
09/28/2016 - AMRN, 20d
09/28/2016 - RIGL, 20d
09/28/2016 - RARE, 20d
09/28/2016 - PBMD, 20d
09/28/2016 - SYN, 20d
09/28/2016 - ARQL, 20d
09/28/2016 - CEMP, 20d
09/28/2016 - OPHT, 20d
09/28/2016 - VBLT, 20d
09/28/2016 - SUPN, 20d
09/28/2016 - ITEK, 20d
09/28/2016 - PSTI, 20d
09/28/2016 - AMAG, 20d
09/28/2016 - AFMD, 20d
09/28/2016 - ARGS, 20d
09/28/2016 - HZNP, 20d
09/28/2016 - GWPH, 20d
09/28/2016 - GBT, 20d
09/28/2016 - BMRN, 20d
09/28/2016 - CRMD, 20d
09/28/2016 - HTBX, 20d
09/28/2016 - VCEL, 20d
09/28/2016 - GTXI, 20d
09/28/2016 - PTN, 20d
09/28/2016 - CLCD, 20d
